country,n,stunting_pct,overweight_mother_pct,dbm_pct
Burkina Faso,5664,21.2,22.1,3.2
Benin,6005,32.3,25.3,6.2
Cote d'Ivoire,4672,24.1,28.7,4.5
Cameroon,4251,28.4,37.5,7.6
Gabon,3378,21.0,46.4,7.3
Ghana,4346,18.3,37.8,4.9
Gambia,3648,18.2,33.9,4.9
Guinea,3396,31.1,25.6,6.8
Kenya,8854,18.4,32.3,3.9
Liberia,2381,31.9,29.9,7.7
Lesotho,1019,37.2,51.8,18.1
Madagascar,5722,38.9,10.8,3.1
Malawi_2015a,4170,27.1,29.0,6.0
Mauritania,4616,26.0,56.5,12.8
Malawi_2015b,5099,35.2,20.4,5.7
Mozambique,3676,33.1,22.3,5.2
Nigeria,11087,36.2,27.5,6.4
Rwanda,3758,33.5,29.0,7.5
Sierra Leone,4056,30.2,25.2,6.2
Tanzania,4648,29.4,29.6,6.9
Uganda,4305,28.4,21.5,4.7
Zimbabwe,4746,25.7,36.7,7.8
